,Weight Class,Fighter Name,Last Fight Date,Age,Height,Reach,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Strikes by Position to Head,Strikes by Position to Body,Strikes by Position to Leg,Control Time per Position Distance,Control Time per Position Clinch,Control Time per Position Ground,Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,Ground Control Time,SDBL/A,SDHL/A,SDLL/A,TSL,TSA,SSL,SSA,TSL-TSA,KD,%BODY,%HEAD,%LEG,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC,SGBL,SGBA,SGHL,SGHA,SGLL,SGLA,AD,ADTB,ADHG,ADTM,ADTS,SM,
0,Featherweight,Edson Barbosa,2023-10-14 00:00:00,38.0,5 ft 11 in,75 in,4.18,45,4.34,58,-0.16,626.0,449.0,351.0,Not available,Not available,Not available,0.48,50,75,0.09,xx,0.31,0.18,0.12,74.35,148.73,69.44,141.16,0.51,0.63,0.77,0.33,0.79,5.99,5.99,0.5,1.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.19,0.0,0.0,1.98,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Featherweight,Lerone Murphy,2023-07-22 00:00:00,32.0,5 ft 9 in,73.50 in,3.65,50,2.4,56,1.25,155.0,68.0,31.0,xx,xx,xx,1.29,46,47,0.86,xx,0.14,0.22,0.0,63.18,108.08,48.21,90.66,0.63,0.45,0.65,0.51,0.71,3.0,3.0,3.61,4.61,0.45,0.45,0.0,0.0,1.3,2.7,0.0,0.38,2.13,2.13,8.55,13.6,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.5,
2,Welterweight,Khaos Williams,2023-05-06 00:00:00,29.0,6 ft 0 in,77 in,5.77,39,5.33,43,0.44,192.0,82.0,141.0,xx,xx,xx,0,0,80,0,xx,0.29,0.23,0.76,95.64,225.58,83.39,211.99,0.43,0.43,0.71,0.25,0.76,1.9,1.9,1.65,5.4,0.5,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.88,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,Welterweight,Carlston Harris,2023-08-05 00:00:00,36.0,6 ft 0 in,76 in,2.93,50,2.44,53,0.49,67.0,24.0,6.0,xx,xx,xx,2.05,29,56,0.82,xx,1.7120214683544305e+18,0.1,1.7046020050632911e+18,44.39,70.51,22.39,44.92,0.52,0.17,0.73,0.31,0.85,1.1,1.1,1.78,2.68,0.0,0.0,0.0,0.0,1.13,3.58,0.0,0.09,0.4,0.4,5.18,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,
4,Light Heavyweight,Rodolfo Bellato,2023-12-02 00:00:00,28.0,6 ft 3 in,75.5 in,6.47,62,5.9,44,0.57,136.0,31.0,12.0,xx,xx,xx,1.09,25,100,0.54,xx,0.0,0.25,0.0,55.44,86.48,40.99,65.24,0.38,0.15,0.47,0.35,0.42,3.43,3.43,9.44,11.99,0.25,0.25,0.0,0.0,0.4,1.68,0.0,0.11,0.0,0.0,12.93,18.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,
5,Bantamweight,Adrian Yanez,2023-10-14 00:00:00,29.0,5 ft 7 in,70 in,6.15,40,5.73,58,0.42,219.0,48.0,42.0,xx,xx,xx,0,xx,100,0,xx,0.11,0.32,0.3,44.87,116.09,44.67,115.64,0.4,0.35,0.65,0.33,0.78,0.45,0.45,0.5,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,Bantamweight,Vinicius Salvador,2023-07-29 00:00:00,27.0,5 ft 7 in,70.5 in,5.44,43,6.05,50,xx,192.0,56.0,29.0,xx,xx,xx,0.38,11,87,0,xx,0.49,0.2,0.23,59.81,125.78,48.45,113.16,0.32,0.6,0.5,0.22,0.61,1.43,1.65,1.53,2.18,0.0,0.0,0.0,0.0,0.23,2.05,0.0,0.04,0.23,0.23,1.48,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,Women's Strawweight,Luana Pinheiro,2023-11-18 00:00:00,31.0,5 ft 2 in,62.5 in,3.89,42,4.38,63,0.49,121.0,45.0,32.0,xx,xx,xx,2.36,40,67,0.29,xx,0.11,0.3,0.13,45.86,108.21,42.26,101.35,0.44,0.35,0.64,0.36,0.66,2.4,2.88,1.4,3.4,0.17,0.17,0.0,0.0,1.52,4.28,0.0,0.32,0.0,0.0,1.92,3.77,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.2,
8,Women's Strawweight,Angela Hill,2023-11-04 00:00:00,39.0,5 ft 3 in,64.5 in,5.44,50,4.94,61,0.5,1380.0,594.0,166.0,xx,xx,xx,0.73,34,76,0.09,xx,0.67,0.36,0.0,105.18,193.09,88.3,169.71,0.56,0.0,0.8,0.4,0.59,17.37,17.84,9.36,13.11,0.4,0.4,0.4,0.0,1.58,3.6,0.0,0.24,0.0,0.0,1.5,3.13,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,
9,Welterweight,Themba Gorimbo,2024-02-03 00:00:00,33.0,6 ft 1 in,77 in,2.3,61,1.67,46,0.63,20.0,12.0,2.0,xx,xx,xx,3.39,45,67,0,xx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Welterweight,Ramiz Brahimaj,2022-02-26 00:00:00,30.0,5 ft 10 in,72 in,2.47,41,4.08,51,xx,71.0,13.0,3.0,xx,xx,xx,1.9,67,58,2.37,xx,0.0,0.16,0.0,17.02,38.31,15.27,36.11,0.43,0.0,0.28,0.26,0.4,1.35,1.35,0.23,0.68,0.0,0.0,0.0,0.0,0.88,1.33,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,
11,Middleweight,Abus Magomedov,2023-11-04 00:00:00,33.0,6 ft 2 in,78 in,3.73,43,5.36,55,1.63,88.0,31.0,15.0,xx,xx,xx,0.61,50,100,0,xx,0.3,0.13,0.0,21.76,51.73,21.51,50.97,0.39,0.2,0.5,0.34,0.37,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.23,0.45,0.0,0.11,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
