Fight,OUTCOME
Derrick Lewis  vs. Rodrigo Nascimento ,W/L
Joaquin Buckley  vs. Nursulton Ruziboev ,W/L
Alonzo Menifield  vs. Carlos Ulberg ,L/W
Diego Ferreira  vs. Mateusz Rebecki ,W/L
Alex Caceres  vs. Sean Woodson ,L/W
Waldo Cortes-Acosta  vs. Robelis Despaigne ,W/L
Chase Hooper  vs. Viacheslav Borshchev ,W/L
Terrance McKinney  vs. Esteban Ribovics ,L/W
Tabatha Ricci  vs. Tecia Pennington ,W/L
Billy Ray Goff  vs. Trey Waters ,L/W
Charles Johnson  vs. Jake Hadley ,W/L
JJ Aldrich  vs. Veronica Hardy ,L/W
Alexandre Pantoja  vs. Steve Erceg ,W/L
Jose Aldo  vs. Jonathan Martinez ,W/L
Anthony Smith  vs. Vitor Petrino ,W/L
Michel Pereira  vs. Ihor Potieria ,W/L
Paul Craig  vs. Caio Borralho ,L/W
Jack Shore  vs. Joanderson Brito ,L/W
Karolina Kowalkiewicz  vs. Iasmin Lucindo ,L/W
Elves Brener  vs. Myktybek Orolbai ,L/W
Joaquim Silva  vs. Drakkar Klose ,L/W
Mauricio Ruffy  vs. Jamie Mullarkey ,W/L
Dione Barbosa  vs. Ernesta Kareckaite ,W/L
Ismael Bonfim  vs. Vinc Pichel ,W/L
Alessandro Costa  vs. Kevin Borjas ,W/L
Matheus Nicolau  vs. Alex Perez ,L/W
Ryan Spann  vs. Bogdan Guskov ,L/W
Ariane da Silva  vs. Karine Silva ,L/W
Austen Lane  vs. Jhonata Diniz ,L/W
Jonathan Pearce  vs. David Onama ,L/W
Tim Means  vs. Uros Medic ,L/W
Rani Yahya  vs. Victor Henry ,L/W
Austin Hubbard  vs. Michal Figlak ,W/L
Don'Tale Mayes  vs. Caio Machado ,W/L
Marnic Mann  vs. Ketlen Souza ,L/W
James Llontop  vs. Chris Padilla ,L/W
Ivana Petrovic  vs. Liang Na ,W/L
Gabriel Benitez  vs.  Maheshate ,L/W
Alex Pereira  vs. Jamahal Hill ,W/L
Zhang Weili  vs. Yan Xiaonan ,W/L
Justin Gaethje  vs. Max Holloway ,L/W
Charles Oliveira  vs. Arman Tsarukyan ,L/W
Bo Nickal  vs. Cody Brundage ,W/L
Jiri Prochazka  vs. Aleksandar Rakic ,W/L
Calvin Kattar  vs. Aljamain Sterling ,L/W
Holly Holm  vs. Kayla Harrison ,L/W
Sodiq Yusuff  vs. Diego Lopes ,L/W
Jalin Turner  vs. Renato Moicano ,L/W
Jessica Andrade  vs. Marina Rodriguez ,W/L
Bobby Green  vs. Jim Miller ,W/L
Deiveson Figueiredo  vs. Cody Garbrandt ,W/L
Brendan Allen  vs. Chris Curtis ,W/L
Alexander Hernandez  vs. Damon Jackson ,L/W
Morgan Charriere  vs. Chepe Mariscal ,L/W
Ignacio Bahamondes  vs. Christos Giagos ,W/L
Trevor Peek  vs. Charlie Campbell ,L/W
Court McGee  vs. Alex Morono ,L/W
Valter Walker  vs. Lukasz Brzeski ,L/W
Norma Dumont  vs. Germaine de Randamie ,W/L
Pedro Falcao  vs. Victor Hugo ,L/W
Dan Argueta  vs. Jean Matsumoto ,L/W
Dylan Budka  vs. Cesar Almeida ,L/W
Melissa Mullins  vs. Nora Cornolle ,L/W
Erin Blanchfield  vs. Manon Fiorot ,L/W
Vicente Luque  vs. Joaquin Buckley ,L/W
Chris Weidman  vs. Bruno Silva ,W/L
Nursulton Ruziboev  vs. Sedriques Dumas ,W/L
Bill Algeo  vs. Kyle Nelson ,L/W
Chidi Njokuani  vs. Rhys McKee ,W/L
Nate Landwehr  vs. Jamall Emmers ,W/L
Virna Jandiroba  vs. Loopy Godinez ,W/L
Julio Arce  vs. Herbert Burns ,W/L
Dennis Buzukja  vs. Connor Matthews ,W/L
Ibo Aslan  vs. Anton Turkalj ,W/L
Andre Petroski  vs. Jacob Malkoun ,L/W
Angel Pacheco  vs. Caolan Loughran ,L/W
Amanda Ribas  vs. Rose Namajunas ,L/W
Karl Williams  vs. Justin Tafa ,W/L
Edmen Shahbazyan  vs. AJ Dobson ,W/L
Payton Talbott  vs. Cameron Saaiman ,W/L
Billy Quarantillo  vs. Youssef Zalal ,L/W
Fernando Padilla  vs. Luis Pajuelo ,W/L
Kurt Holobaugh  vs. Trey Ogden ,L/W
Ricardo Ramos  vs. Julian Erosa ,L/W
Miles Johns  vs. Cody Gibson ,W/L
Jarno Errens  vs. Steven Nguyen ,W/L
Montserrat Rendon  vs. Daria Zhelezniakova ,L/W
Igor Severino  vs. Andre Lima ,L/W
Mohammed Usman  vs. Mick Parkin ,L/W
Tai Tuivasa  vs. Marcin Tybura ,L/W
Bryan Battle  vs. Ange Loosa ,NC/NC
Ovince Saint Preux  vs. Kennedy Nzechukwu ,W/L
Christian Rodriguez  vs. Isaac Dulgarian ,W/L
Pannie Kianzad  vs. Macy Chiasson ,L/W
Gerald Meerschaert  vs. Bryan Barberena ,W/L
Natan Levy  vs. Mike Davis ,L/W
Josiane Nunes  vs. Chelsea Chandler ,L/W
Jafel Filho  vs. Ode Osbourne ,W/L
Josh Culibao  vs. Danny Silva ,L/W
Jaqueline Amorim  vs. Cory McKenna ,W/L
Thiago Moises  vs. Mitch Ramirez ,W/L
Charalampos Grigoriou  vs. Chad Anheliger ,L/W
Sean O'Malley  vs. Marlon Vera ,W/L
Dustin Poirier  vs. Benoit Saint Denis ,W/L
Kevin Holland  vs. Michael Page ,L/W
Gilbert Burns  vs. Jack Della Maddalena ,L/W
Petr Yan  vs. Song Yadong ,W/L
Curtis Blaydes  vs. Jailton Almeida ,W/L
Katlyn Cerminara  vs. Maycee Barber ,L/W
Mateusz Gamrot  vs. Rafael Dos Anjos ,W/L
Pedro Munhoz  vs. Kyler Phillips ,L/W
Ion Cutelaba  vs. Philipe Lins ,L/W
Michel Pereira  vs. Michal Oleksiejczuk ,W/L
Robelis Despaigne  vs. Josh Parisian ,W/L
CJ Vergara  vs. Asu Almabayev ,L/W
Joanne Wood  vs. Maryna Moroz ,W/L
Jairzinho Rozenstruik  vs. Shamil Gaziev ,W/L
Vitor Petrino  vs. Tyson Pedro ,W/L
Alex Perez  vs. Muhammad Mokaev ,L/W
Umar Nurmagomedov  vs. Bekzat Almakhan ,W/L
Matt Schnell  vs. Steve Erceg ,L/W
Eryk Anders  vs. Jamie Pickett ,W/L
Vinicius Oliveira  vs. Benardo Sopaj ,W/L
Aiemann Zahabi  vs. Javid Basharat ,W/L
Christian Leroy Duncan  vs. Claudio Ribeiro ,W/L
Ludovit Klein  vs. AJ Cunningham ,W/L
Abdul-Kareem Al-Selwady  vs. Loik Radzhabov ,L/W
Brandon Moreno  vs. Brandon Royval ,L/W
Yair Rodriguez  vs. Brian Ortega ,L/W
Daniel Zellhuber  vs. Francisco Prado ,W/L
Yazmin Jauregui  vs. Sam Hughes ,W/L
Manuel Torres  vs. Chris Duncan ,W/L
Cristian Quinonez  vs. Raoni Barcelos ,L/W
Jesus Aguilar  vs. Mateus Mendonca ,W/L
Edgar Chairez  vs. Daniel Lacerda ,W/L
Claudio Puelles  vs. Fares Ziam ,L/W
Ronaldo Rodriguez  vs. Denys Bondar ,W/L
Victor Altamirano  vs. Felipe dos Santos ,L/W
Erik Silva  vs. Muhammad Naimov ,L/W
Alexander Volkanovski  vs. Ilia Topuria ,L/W
Robert Whittaker  vs. Paulo Costa ,W/L
Geoff Neal  vs. Ian Machado Garry ,L/W
Merab Dvalishvili  vs. Henry Cejudo ,W/L
Anthony Hernandez  vs. Roman Kopylov ,W/L
Amanda Lemos  vs. Mackenzie Dern ,W/L
Marcos Rogerio de Lima  vs. Junior Tafa ,W/L
Rinya Nakamura  vs. Carlos Vera ,W/L
Zhang Mingyang  vs. Brendson Ribeiro ,W/L
Josh Quinlan  vs. Danny Barlow ,L/W
Oban Elliott  vs. Val Woodburn ,W/L
Andrea Lee  vs. Miranda Maverick ,L/W
Jack Hermansson  vs. Joe Pyfer ,W/L
Dan Ige  vs. Andre Fili ,W/L
Robert Bryczek  vs. Ihor Potieria ,L/W
Brad Tavares  vs. Gregory Rodrigues ,L/W
Michael Johnson  vs. Darrius Flowers ,W/L
Rodolfo Vieira  vs. Armen Petrosyan ,W/L
Trevin Giles  vs. Carlos Prates ,L/W
Bolaji Oki  vs. Timmy Cuamba ,W/L
Loma Lookboonmee  vs. Bruna Brasil ,W/L
Devin Clark  vs. Marcin Prachnio ,L/W
Max Griffin  vs. Jeremiah Wells ,W/L
Zac Pauga  vs. Bogdan Guskov ,L/W
Fernie Garcia  vs. Hyder Amil ,L/W
Daniel Marcos  vs.  Aoriqileng ,NC/NC
Roman Dolidze  vs. Nassourdine Imavov ,L/W
Renato Moicano  vs. Drew Dober ,W/L
Randy Brown  vs. Muslim Salikhov ,W/L
Viviane Araujo  vs. Natalia Silva ,L/W
Aliaskhab Khizriev  vs. Makhmud Muradov ,NC/NC
Gilbert Urbina  vs. Charles Radtke ,L/W
Molly McCann  vs. Diana Belbita ,W/L
Azat Maksum  vs. Charles Johnson ,L/W
Themba Gorimbo  vs. Pete Rodriguez ,W/L
JeongYeong Lee  vs. Blake Bilder ,W/L
Luana Carolina  vs. Julija Stoliarenko ,W/L
Landon Quinones  vs. MarQuel Mederos ,L/W
Thomas Petersen  vs. Jamal Pogues ,L/W
Sean Strickland  vs. Dricus Du Plessis ,L/W
Raquel Pennington  vs. Mayra Bueno Silva ,W/L
Neil Magny  vs. Mike Malott ,W/L
Chris Curtis  vs. Marc-Andre Barriault ,W/L
Arnold Allen  vs. Movsar Evloev ,L/W
Brad Katona  vs. Garrett Armfield ,L/W
Charles Jourdain  vs. Sean Woodson ,L/W
Serhiy Sidey  vs. Ramon Taveras ,L/W
Gillian Robertson  vs. Polyana Viana ,W/L
Yohan Lainesse  vs. Sam Patterson ,L/W
Jasmine Jasudavicius  vs. Priscila Cachoeira ,W/L
Malcolm Gordon  vs. Jimmy Flick ,L/W
Magomed Ankalaev  vs. Johnny Walker ,W/L
Jim Miller  vs. Gabriel Benitez ,W/L
Ricky Simon  vs. Mario Bautista ,L/W
Phil Hawes  vs. Brunno Ferreira ,L/W
Andrei Arlovski  vs. Waldo Cortes-Acosta ,L/W
Matthew Semelsberger  vs. Preston Parsons ,L/W
Marcus McGhee  vs. Gaston Bolanos ,W/L
Farid Basharat  vs. Taylor Lapilus ,W/L
Westin Wilson  vs. Jean Silva ,L/W
Nikolas Motta  vs. Tom Nolan ,W/L
Joshua Van  vs. Felipe Bunes ,W/L
Leon Edwards  vs. Colby Covington ,W/L
Alexandre Pantoja  vs. Brandon Royval ,W/L
Shavkat Rakhmonov  vs. Stephen Thompson ,W/L
Tony Ferguson  vs. Paddy Pimblett ,L/W
Josh Emmett  vs. Bryce Mitchell ,W/L
Alonzo Menifield  vs. Dustin Jacoby ,W/L
Irene Aldana  vs. Karol Rosa ,W/L
Cody Garbrandt  vs. Brian Kelleher ,W/L
Casey O'Neill  vs. Ariane Lipski ,L/W
Tagir Ulanbekov  vs. Cody Durden ,W/L
Andre Fili  vs. Lucas Almeida ,W/L
Martin Buday  vs. Shamil Gaziev ,L/W
Song Yadong  vs. Chris Gutierrez ,W/L
Anthony Smith  vs. Khalil Rountree Jr. ,L/W
Nasrat Haqparast  vs. Jamie Mullarkey ,W/L
Tim Elliott  vs.  Sumudaerji ,W/L
JunYong Park  vs. Andre Muniz ,L/W
Song Kenan  vs. Kevin Jousset ,L/W
HyunSung Park  vs. Shannon Ross ,W/L
Steve Garcia  vs. Melquizael Costa ,W/L
Luana Santos  vs. Stephanie Egger ,W/L
Tatsuro Taira  vs. Carlos Hernandez ,W/L
Rayanne Amanda  vs. Talita Alencar ,L/W
Beneil Dariush  vs. Arman Tsarukyan ,L/W
Jalin Turner  vs. Bobby Green ,W/L
Rob Font  vs. Deiveson Figueiredo ,L/W
Sean Brady  vs. Kelvin Gastelum ,W/L
Clay Guida  vs. Joaquim Silva ,L/W
Punahele Soriano  vs. Dustin Stoltzfus ,L/W
Miesha Tate  vs. Julia Avila ,W/L
Zach Reese  vs. Cody Brundage ,L/W
Drakkar Klose  vs. Joe Solecki ,W/L
Rodolfo Bellato  vs. Ihor Potieria ,W/L
Wellington Turman  vs. Jared Gooden ,L/W
Veronica Hardy  vs. Jamey-Lyn Horth ,W/L
Brendan Allen  vs. Paul Craig ,W/L
Michael Morales  vs. Jake Matthews ,W/L
Chase Hooper  vs. Jordan Leavitt ,W/L
Payton Talbott  vs. Nick Aguirre ,W/L
Luana Pinheiro  vs. Amanda Ribas ,L/W
Uros Medic  vs. Myktybek Orolbai ,L/W
Jonathan Pearce  vs. Joanderson Brito ,L/W
Chad Anheliger  vs. Jose Johnson ,L/W
Christian Leroy Duncan  vs. Denis Tiuliulin ,W/L
Mick Parkin  vs. Caio Machado ,W/L
Jeka Saragih  vs. Lucas Alexander ,W/L
Lucie Pudilova  vs. Ailin Perez ,L/W
Trey Ogden  vs. Nikolas Motta ,NC/NC
Charles Johnson  vs. Rafael Estevam ,L/W
Jiri Prochazka  vs. Alex Pereira ,L/W
Sergei Pavlovich  vs. Tom Aspinall ,L/W
Jessica Andrade  vs. Mackenzie Dern ,W/L
Matt Frevola  vs. Benoit Saint Denis ,L/W
Diego Lopes  vs. Pat Sabatini ,W/L
Steve Erceg  vs. Alessandro Costa ,W/L
Tabatha Ricci  vs. Loopy Godinez ,L/W
Mateusz Rebecki  vs. Roosevelt Roberts ,W/L
Nazim Sadykhov  vs. Viacheslav Borshchev ,D/D
Jared Gordon  vs. Mark Madsen ,W/L
John Castaneda  vs. Kyung Ho Kang ,W/L
Joshua Van  vs. Kevin Borjas ,W/L
Dennis Buzukja  vs. Jamall Emmers ,L/W
Jailton Almeida  vs. Derrick Lewis ,W/L
Gabriel Bonfim  vs. Nicolas Dalby ,L/W
Rodrigo Nascimento  vs. Don'Tale Mayes ,W/L
Caio Borralho  vs. Abus Magomedov ,W/L
Elves Brener  vs. Kaynan Kruschewsky ,W/L
Rinat Fakhretdinov  vs. Elizeu Zaleski dos Santos ,D/D
