Fight,OUTCOME,Fighter1,Fighter2
Brad Katona  vs. Garrett Armfield ,L/W,Brad Katona,Garrett Armfield
Tatsuro Taira  vs. Carlos Hernandez ,W/L,Tatsuro Taira,Carlos Hernandez
Punahele Soriano  vs. Dustin Stoltzfus ,L/W,Punahele Soriano,Dustin Stoltzfus
Angela Hill  vs. Denise Gomes ,W/L,Angela Hill,Denise Gomes
Sean Strickland  vs. Abus Magomedov ,W/L,Sean Strickland,Abus Magomedov
Gillian Robertson  vs. Piera Rodriguez ,W/L,Gillian Robertson,Piera Rodriguez
Michelle Waterson-Gomez  vs. Luana Pinheiro ,L/W,Michelle Waterson-Gomez,Luana Pinheiro
Punahele Soriano  vs. Roman Kopylov ,L/W,Punahele Soriano,Roman Kopylov
Angela Hill  vs. Emily Ducote ,W/L,Angela Hill,Emily Ducote
Dustin Poirier  vs. Michael Chandler ,W/L,Dustin Poirier,Michael Chandler
Tagir Ulanbekov  vs. Nate Maness ,W/L,Tagir Ulanbekov,Nate Maness
Dustin Jacoby  vs. Khalil Rountree Jr. ,L/W,Dustin Jacoby,Khalil Rountree Jr.
Abus Magomedov  vs. Dustin Stoltzfus ,W/L,Abus Magomedov,Dustin Stoltzfus
Randy Brown  vs. Khaos Williams ,W/L,Randy Brown,Khaos Williams
Miguel Baeza  vs. Khaos Williams ,L/W,Miguel Baeza,Khaos Williams
Ricky Turcios  vs. Brady Hiestand ,W/L,Ricky Turcios,Brady Hiestand
Dustin Poirier  vs. Conor McGregor ,W/L,Dustin Poirier,Conor McGregor
Montana De La Rosa  vs. Mayra Bueno Silva ,D/D,Montana De La Rosa,Mayra Bueno Silva
Dustin Poirier  vs. Conor McGregor ,W/L,Dustin Poirier,Conor McGregor
Warlley Alves  vs. Randy Brown ,L/W,Warlley Alves,Randy Brown
Ariane Carnelossi  vs. Angela Hill ,L/W,Ariane Carnelossi,Angela Hill
Andrea Lee  vs. Montana De La Rosa ,W/L,Andrea Lee,Montana De La Rosa
Mayra Bueno Silva  vs. Gillian Robertson ,W/L,Mayra Bueno Silva,Gillian Robertson
Elizeu Zaleski dos Santos  vs. Sean Strickland ,W/L,Elizeu Zaleski dos Santos,Sean Strickland
