,Fight,OUTCOME
0,Derrick Lewis  vs. Rodrigo Nascimento ,W/L
1,Joaquin Buckley  vs. Nursulton Ruziboev ,W/L
2,Alonzo Menifield  vs. Carlos Ulberg ,L/W
3,Diego Ferreira  vs. Mateusz Rebecki ,W/L
4,Alex Caceres  vs. Sean Woodson ,L/W
5,Waldo Cortes-Acosta  vs. Robelis Despaigne ,W/L
6,Chase Hooper  vs. Viacheslav Borshchev ,W/L
7,Terrance McKinney  vs. Esteban Ribovics ,L/W
8,Tabatha Ricci  vs. Tecia Pennington ,W/L
9,Billy Ray Goff  vs. Trey Waters ,L/W
10,Charles Johnson  vs. Jake Hadley ,W/L
11,JJ Aldrich  vs. Veronica Hardy ,L/W
12,Alexandre Pantoja  vs. Steve Erceg ,W/L
13,Jose Aldo  vs. Jonathan Martinez ,W/L
14,Anthony Smith  vs. Vitor Petrino ,W/L
15,Michel Pereira  vs. Ihor Potieria ,W/L
16,Paul Craig  vs. Caio Borralho ,L/W
17,Jack Shore  vs. Joanderson Brito ,L/W
18,Karolina Kowalkiewicz  vs. Iasmin Lucindo ,L/W
19,Elves Brener  vs. Myktybek Orolbai ,L/W
20,Joaquim Silva  vs. Drakkar Klose ,L/W
21,Mauricio Ruffy  vs. Jamie Mullarkey ,W/L
22,Dione Barbosa  vs. Ernesta Kareckaite ,W/L
23,Ismael Bonfim  vs. Vinc Pichel ,W/L
24,Alessandro Costa  vs. Kevin Borjas ,W/L
25,Matheus Nicolau  vs. Alex Perez ,L/W
26,Ryan Spann  vs. Bogdan Guskov ,L/W
27,Ariane da Silva  vs. Karine Silva ,L/W
28,Austen Lane  vs. Jhonata Diniz ,L/W
29,Jonathan Pearce  vs. David Onama ,L/W
30,Tim Means  vs. Uros Medic ,L/W
31,Rani Yahya  vs. Victor Henry ,L/W
32,Austin Hubbard  vs. Michal Figlak ,W/L
33,Don'Tale Mayes  vs. Caio Machado ,W/L
34,Marnic Mann  vs. Ketlen Souza ,L/W
35,James Llontop  vs. Chris Padilla ,L/W
36,Ivana Petrovic  vs. Liang Na ,W/L
37,Gabriel Benitez  vs.  Maheshate ,L/W
38,Alex Pereira  vs. Jamahal Hill ,W/L
39,Zhang Weili  vs. Yan Xiaonan ,W/L
40,Justin Gaethje  vs. Max Holloway ,L/W
41,Charles Oliveira  vs. Arman Tsarukyan ,L/W
42,Bo Nickal  vs. Cody Brundage ,W/L
43,Jiri Prochazka  vs. Aleksandar Rakic ,W/L
44,Calvin Kattar  vs. Aljamain Sterling ,L/W
45,Holly Holm  vs. Kayla Harrison ,L/W
46,Sodiq Yusuff  vs. Diego Lopes ,L/W
47,Jalin Turner  vs. Renato Moicano ,L/W
48,Jessica Andrade  vs. Marina Rodriguez ,W/L
49,Bobby Green  vs. Jim Miller ,W/L
50,Deiveson Figueiredo  vs. Cody Garbrandt ,W/L
51,Brendan Allen  vs. Chris Curtis ,W/L
52,Alexander Hernandez  vs. Damon Jackson ,L/W
53,Morgan Charriere  vs. Chepe Mariscal ,L/W
54,Ignacio Bahamondes  vs. Christos Giagos ,W/L
55,Trevor Peek  vs. Charlie Campbell ,L/W
56,Court McGee  vs. Alex Morono ,L/W
57,Valter Walker  vs. Lukasz Brzeski ,L/W
58,Norma Dumont  vs. Germaine de Randamie ,W/L
59,Pedro Falcao  vs. Victor Hugo ,L/W
60,Dan Argueta  vs. Jean Matsumoto ,L/W
61,Dylan Budka  vs. Cesar Almeida ,L/W
62,Melissa Mullins  vs. Nora Cornolle ,L/W
63,Erin Blanchfield  vs. Manon Fiorot ,L/W
64,Vicente Luque  vs. Joaquin Buckley ,L/W
65,Chris Weidman  vs. Bruno Silva ,W/L
66,Nursulton Ruziboev  vs. Sedriques Dumas ,W/L
67,Bill Algeo  vs. Kyle Nelson ,L/W
68,Chidi Njokuani  vs. Rhys McKee ,W/L
69,Nate Landwehr  vs. Jamall Emmers ,W/L
70,Virna Jandiroba  vs. Loopy Godinez ,W/L
71,Julio Arce  vs. Herbert Burns ,W/L
72,Dennis Buzukja  vs. Connor Matthews ,W/L
73,Ibo Aslan  vs. Anton Turkalj ,W/L
74,Andre Petroski  vs. Jacob Malkoun ,L/W
75,Angel Pacheco  vs. Caolan Loughran ,L/W
76,Amanda Ribas  vs. Rose Namajunas ,L/W
77,Karl Williams  vs. Justin Tafa ,W/L
78,Edmen Shahbazyan  vs. AJ Dobson ,W/L
79,Payton Talbott  vs. Cameron Saaiman ,W/L
80,Billy Quarantillo  vs. Youssef Zalal ,L/W
81,Fernando Padilla  vs. Luis Pajuelo ,W/L
82,Kurt Holobaugh  vs. Trey Ogden ,L/W
83,Ricardo Ramos  vs. Julian Erosa ,L/W
84,Miles Johns  vs. Cody Gibson ,W/L
85,Jarno Errens  vs. Steven Nguyen ,W/L
86,Montserrat Rendon  vs. Daria Zhelezniakova ,L/W
87,Igor Severino  vs. Andre Lima ,L/W
88,Mohammed Usman  vs. Mick Parkin ,L/W
89,Tai Tuivasa  vs. Marcin Tybura ,L/W
90,Bryan Battle  vs. Ange Loosa ,NC/NC
91,Ovince Saint Preux  vs. Kennedy Nzechukwu ,W/L
92,Christian Rodriguez  vs. Isaac Dulgarian ,W/L
93,Pannie Kianzad  vs. Macy Chiasson ,L/W
94,Gerald Meerschaert  vs. Bryan Barberena ,W/L
95,Natan Levy  vs. Mike Davis ,L/W
96,Josiane Nunes  vs. Chelsea Chandler ,L/W
97,Jafel Filho  vs. Ode Osbourne ,W/L
98,Josh Culibao  vs. Danny Silva ,L/W
99,Jaqueline Amorim  vs. Cory McKenna ,W/L
100,Thiago Moises  vs. Mitch Ramirez ,W/L
101,Charalampos Grigoriou  vs. Chad Anheliger ,L/W
102,Sean O'Malley  vs. Marlon Vera ,W/L
103,Dustin Poirier  vs. Benoit Saint Denis ,W/L
104,Kevin Holland  vs. Michael Page ,L/W
105,Gilbert Burns  vs. Jack Della Maddalena ,L/W
106,Petr Yan  vs. Song Yadong ,W/L
107,Curtis Blaydes  vs. Jailton Almeida ,W/L
108,Katlyn Cerminara  vs. Maycee Barber ,L/W
109,Mateusz Gamrot  vs. Rafael Dos Anjos ,W/L
110,Pedro Munhoz  vs. Kyler Phillips ,L/W
111,Ion Cutelaba  vs. Philipe Lins ,L/W
112,Michel Pereira  vs. Michal Oleksiejczuk ,W/L
113,Robelis Despaigne  vs. Josh Parisian ,W/L
114,CJ Vergara  vs. Asu Almabayev ,L/W
115,Joanne Wood  vs. Maryna Moroz ,W/L
116,Jairzinho Rozenstruik  vs. Shamil Gaziev ,W/L
117,Vitor Petrino  vs. Tyson Pedro ,W/L
118,Alex Perez  vs. Muhammad Mokaev ,L/W
119,Umar Nurmagomedov  vs. Bekzat Almakhan ,W/L
120,Matt Schnell  vs. Steve Erceg ,L/W
121,Eryk Anders  vs. Jamie Pickett ,W/L
122,Vinicius Oliveira  vs. Benardo Sopaj ,W/L
123,Aiemann Zahabi  vs. Javid Basharat ,W/L
124,Christian Leroy Duncan  vs. Claudio Ribeiro ,W/L
125,Ludovit Klein  vs. AJ Cunningham ,W/L
126,Abdul-Kareem Al-Selwady  vs. Loik Radzhabov ,L/W
127,Brandon Moreno  vs. Brandon Royval ,L/W
128,Yair Rodriguez  vs. Brian Ortega ,L/W
129,Daniel Zellhuber  vs. Francisco Prado ,W/L
130,Yazmin Jauregui  vs. Sam Hughes ,W/L
131,Manuel Torres  vs. Chris Duncan ,W/L
132,Cristian Quinonez  vs. Raoni Barcelos ,L/W
133,Jesus Aguilar  vs. Mateus Mendonca ,W/L
134,Edgar Chairez  vs. Daniel Lacerda ,W/L
135,Claudio Puelles  vs. Fares Ziam ,L/W
136,Ronaldo Rodriguez  vs. Denys Bondar ,W/L
137,Victor Altamirano  vs. Felipe dos Santos ,L/W
138,Erik Silva  vs. Muhammad Naimov ,L/W
139,Alexander Volkanovski  vs. Ilia Topuria ,L/W
140,Robert Whittaker  vs. Paulo Costa ,W/L
141,Geoff Neal  vs. Ian Machado Garry ,L/W
142,Merab Dvalishvili  vs. Henry Cejudo ,W/L
143,Anthony Hernandez  vs. Roman Kopylov ,W/L
144,Amanda Lemos  vs. Mackenzie Dern ,W/L
145,Marcos Rogerio de Lima  vs. Junior Tafa ,W/L
146,Rinya Nakamura  vs. Carlos Vera ,W/L
147,Zhang Mingyang  vs. Brendson Ribeiro ,W/L
148,Josh Quinlan  vs. Danny Barlow ,L/W
149,Oban Elliott  vs. Val Woodburn ,W/L
150,Andrea Lee  vs. Miranda Maverick ,L/W
151,Jack Hermansson  vs. Joe Pyfer ,W/L
152,Dan Ige  vs. Andre Fili ,W/L
153,Robert Bryczek  vs. Ihor Potieria ,L/W
154,Brad Tavares  vs. Gregory Rodrigues ,L/W
155,Michael Johnson  vs. Darrius Flowers ,W/L
156,Rodolfo Vieira  vs. Armen Petrosyan ,W/L
157,Trevin Giles  vs. Carlos Prates ,L/W
158,Bolaji Oki  vs. Timmy Cuamba ,W/L
159,Loma Lookboonmee  vs. Bruna Brasil ,W/L
160,Devin Clark  vs. Marcin Prachnio ,L/W
161,Max Griffin  vs. Jeremiah Wells ,W/L
162,Zac Pauga  vs. Bogdan Guskov ,L/W
163,Fernie Garcia  vs. Hyder Amil ,L/W
164,Daniel Marcos  vs.  Aoriqileng ,NC/NC
165,Roman Dolidze  vs. Nassourdine Imavov ,L/W
166,Renato Moicano  vs. Drew Dober ,W/L
167,Randy Brown  vs. Muslim Salikhov ,W/L
168,Viviane Araujo  vs. Natalia Silva ,L/W
169,Aliaskhab Khizriev  vs. Makhmud Muradov ,NC/NC
170,Gilbert Urbina  vs. Charles Radtke ,L/W
171,Molly McCann  vs. Diana Belbita ,W/L
172,Azat Maksum  vs. Charles Johnson ,L/W
173,Themba Gorimbo  vs. Pete Rodriguez ,W/L
174,JeongYeong Lee  vs. Blake Bilder ,W/L
175,Luana Carolina  vs. Julija Stoliarenko ,W/L
176,Landon Quinones  vs. MarQuel Mederos ,L/W
177,Thomas Petersen  vs. Jamal Pogues ,L/W
178,Sean Strickland  vs. Dricus Du Plessis ,L/W
179,Raquel Pennington  vs. Mayra Bueno Silva ,W/L
180,Neil Magny  vs. Mike Malott ,W/L
181,Chris Curtis  vs. Marc-Andre Barriault ,W/L
182,Arnold Allen  vs. Movsar Evloev ,L/W
183,Brad Katona  vs. Garrett Armfield ,L/W
184,Charles Jourdain  vs. Sean Woodson ,L/W
185,Serhiy Sidey  vs. Ramon Taveras ,L/W
186,Gillian Robertson  vs. Polyana Viana ,W/L
187,Yohan Lainesse  vs. Sam Patterson ,L/W
188,Jasmine Jasudavicius  vs. Priscila Cachoeira ,W/L
189,Malcolm Gordon  vs. Jimmy Flick ,L/W
190,Magomed Ankalaev  vs. Johnny Walker ,W/L
191,Jim Miller  vs. Gabriel Benitez ,W/L
192,Ricky Simon  vs. Mario Bautista ,L/W
