Unnamed: 0,Fight,OUTCOME,Fighter1,Fighter2
183,Brad Katona  vs. Garrett Armfield ,L/W,Brad Katona,Garrett Armfield
222,Tatsuro Taira  vs. Carlos Hernandez ,W/L,Tatsuro Taira,Carlos Hernandez
229,Punahele Soriano  vs. Dustin Stoltzfus ,L/W,Punahele Soriano,Dustin Stoltzfus
270,Angela Hill  vs. Denise Gomes ,W/L,Angela Hill,Denise Gomes
428,Sean Strickland  vs. Abus Magomedov ,W/L,Sean Strickland,Abus Magomedov
555,Gillian Robertson  vs. Piera Rodriguez ,W/L,Gillian Robertson,Piera Rodriguez
566,Michelle Waterson-Gomez  vs. Luana Pinheiro ,L/W,Michelle Waterson-Gomez,Luana Pinheiro
686,Punahele Soriano  vs. Roman Kopylov ,L/W,Punahele Soriano,Roman Kopylov
727,Angela Hill  vs. Emily Ducote ,W/L,Angela Hill,Emily Ducote
747,Dustin Poirier  vs. Michael Chandler ,W/L,Dustin Poirier,Michael Chandler
762,Tagir Ulanbekov  vs. Nate Maness ,W/L,Tagir Ulanbekov,Nate Maness
774,Dustin Jacoby  vs. Khalil Rountree Jr. ,L/W,Dustin Jacoby,Khalil Rountree Jr.
847,Abus Magomedov  vs. Dustin Stoltzfus ,W/L,Abus Magomedov,Dustin Stoltzfus
1026,Randy Brown  vs. Khaos Williams ,W/L,Randy Brown,Khaos Williams
1260,Miguel Baeza  vs. Khaos Williams ,L/W,Miguel Baeza,Khaos Williams
1379,Ricky Turcios  vs. Brady Hiestand ,W/L,Ricky Turcios,Brady Hiestand
1445,Dustin Poirier  vs. Conor McGregor ,W/L,Dustin Poirier,Conor McGregor
1639,Montana De La Rosa  vs. Mayra Bueno Silva ,D/D,Montana De La Rosa,Mayra Bueno Silva
1680,Dustin Poirier  vs. Conor McGregor ,W/L,Dustin Poirier,Conor McGregor
2217,Warlley Alves  vs. Randy Brown ,L/W,Warlley Alves,Randy Brown
2315,Ariane Carnelossi  vs. Angela Hill ,L/W,Ariane Carnelossi,Angela Hill
2456,Andrea Lee  vs. Montana De La Rosa ,W/L,Andrea Lee,Montana De La Rosa
2833,Mayra Bueno Silva  vs. Gillian Robertson ,W/L,Mayra Bueno Silva,Gillian Robertson
3019,Elizeu Zaleski dos Santos  vs. Sean Strickland ,W/L,Elizeu Zaleski dos Santos,Sean Strickland
3265,Randy Brown  vs. Mickey Gall ,W/L,Randy Brown,Mickey Gall
4710,Dustin Poirier  vs. Conor McGregor ,L/W,Dustin Poirier,Conor McGregor
5429,Cub Swanson  vs. Dustin Poirier ,W/L,Cub Swanson,Dustin Poirier
7815,Garrett Armfield  vs. Brad Katona ,W/L,Garrett Armfield,Brad Katona
7854,Carlos Hernandez  vs. Tatsuro Taira ,L/W,Carlos Hernandez,Tatsuro Taira
7861,Dustin Stoltzfus  vs. Punahele Soriano ,W/L,Dustin Stoltzfus,Punahele Soriano
7902,Denise Gomes  vs. Angela Hill ,L/W,Denise Gomes,Angela Hill
8060,Abus Magomedov  vs. Sean Strickland ,L/W,Abus Magomedov,Sean Strickland
8187,Piera Rodriguez  vs. Gillian Robertson ,L/W,Piera Rodriguez,Gillian Robertson
8198,Luana Pinheiro  vs. Michelle Waterson-Gomez ,W/L,Luana Pinheiro,Michelle Waterson-Gomez
8318,Roman Kopylov  vs. Punahele Soriano ,W/L,Roman Kopylov,Punahele Soriano
8359,Emily Ducote  vs. Angela Hill ,L/W,Emily Ducote,Angela Hill
8379,Michael Chandler  vs. Dustin Poirier ,L/W,Michael Chandler,Dustin Poirier
8394,Nate Maness  vs. Tagir Ulanbekov ,L/W,Nate Maness,Tagir Ulanbekov
8406,Khalil Rountree Jr.  vs. Dustin Jacoby ,W/L,Khalil Rountree Jr.,Dustin Jacoby
8479,Dustin Stoltzfus  vs. Abus Magomedov ,L/W,Dustin Stoltzfus,Abus Magomedov
8658,Khaos Williams  vs. Randy Brown ,L/W,Khaos Williams,Randy Brown
8892,Khaos Williams  vs. Miguel Baeza ,W/L,Khaos Williams,Miguel Baeza
9011,Brady Hiestand  vs. Ricky Turcios ,L/W,Brady Hiestand,Ricky Turcios
9077,Conor McGregor  vs. Dustin Poirier ,L/W,Conor McGregor,Dustin Poirier
9271,Mayra Bueno Silva  vs. Montana De La Rosa ,D/D,Mayra Bueno Silva,Montana De La Rosa
9312,Conor McGregor  vs. Dustin Poirier ,L/W,Conor McGregor,Dustin Poirier
9849,Randy Brown  vs. Warlley Alves ,W/L,Randy Brown,Warlley Alves
9947,Angela Hill  vs. Ariane Carnelossi ,W/L,Angela Hill,Ariane Carnelossi
10088,Montana De La Rosa  vs. Andrea Lee ,L/W,Montana De La Rosa,Andrea Lee
10465,Gillian Robertson  vs. Mayra Bueno Silva ,L/W,Gillian Robertson,Mayra Bueno Silva
10651,Sean Strickland  vs. Elizeu Zaleski dos Santos ,L/W,Sean Strickland,Elizeu Zaleski dos Santos
10897,Mickey Gall  vs. Randy Brown ,L/W,Mickey Gall,Randy Brown
12342,Conor McGregor  vs. Dustin Poirier ,W/L,Conor McGregor,Dustin Poirier
13061,Dustin Poirier  vs. Cub Swanson ,L/W,Dustin Poirier,Cub Swanson
