,Fighter1,Fighter2,OUTCOME
183,Brad Katona,Garrett Armfield,L/W
222,Tatsuro Taira,Carlos Hernandez,W/L
229,Punahele Soriano,Dustin Stoltzfus,L/W
270,Angela Hill,Denise Gomes,W/L
428,Sean Strickland,Abus Magomedov,W/L
555,Gillian Robertson,Piera Rodriguez,W/L
566,Michelle Waterson-Gomez,Luana Pinheiro,L/W
686,Punahele Soriano,Roman Kopylov,L/W
727,Angela Hill,Emily Ducote,W/L
747,Dustin Poirier,Michael Chandler,W/L
762,Tagir Ulanbekov,Nate Maness,W/L
774,Dustin Jacoby,Khalil Rountree Jr.,L/W
847,Abus Magomedov,Dustin Stoltzfus,W/L
1026,Randy Brown,Khaos Williams,W/L
1260,Miguel Baeza,Khaos Williams,L/W
1379,Ricky Turcios,Brady Hiestand,W/L
1445,Dustin Poirier,Conor McGregor,W/L
1639,Montana De La Rosa,Mayra Bueno Silva,D/D
1680,Dustin Poirier,Conor McGregor,W/L
2217,Warlley Alves,Randy Brown,L/W
2315,Ariane Carnelossi,Angela Hill,L/W
2456,Andrea Lee,Montana De La Rosa,W/L
2833,Mayra Bueno Silva,Gillian Robertson,W/L
3019,Elizeu Zaleski dos Santos,Sean Strickland,W/L
3265,Randy Brown,Mickey Gall,W/L
4710,Dustin Poirier,Conor McGregor,L/W
5429,Cub Swanson,Dustin Poirier,W/L
7815,Garrett Armfield,Brad Katona,W/L
7854,Carlos Hernandez,Tatsuro Taira,L/W
7861,Dustin Stoltzfus,Punahele Soriano,W/L
7902,Denise Gomes,Angela Hill,L/W
8060,Abus Magomedov,Sean Strickland,L/W
8187,Piera Rodriguez,Gillian Robertson,L/W
8198,Luana Pinheiro,Michelle Waterson-Gomez,W/L
8318,Roman Kopylov,Punahele Soriano,W/L
8359,Emily Ducote,Angela Hill,L/W
8379,Michael Chandler,Dustin Poirier,L/W
8394,Nate Maness,Tagir Ulanbekov,L/W
8406,Khalil Rountree Jr.,Dustin Jacoby,W/L
8479,Dustin Stoltzfus,Abus Magomedov,L/W
8658,Khaos Williams,Randy Brown,L/W
8892,Khaos Williams,Miguel Baeza,W/L
9011,Brady Hiestand,Ricky Turcios,L/W
9077,Conor McGregor,Dustin Poirier,L/W
9271,Mayra Bueno Silva,Montana De La Rosa,D/D
9312,Conor McGregor,Dustin Poirier,L/W
9849,Randy Brown,Warlley Alves,W/L
9947,Angela Hill,Ariane Carnelossi,W/L
10088,Montana De La Rosa,Andrea Lee,L/W
10465,Gillian Robertson,Mayra Bueno Silva,L/W
10651,Sean Strickland,Elizeu Zaleski dos Santos,L/W
10897,Mickey Gall,Randy Brown,L/W
12342,Conor McGregor,Dustin Poirier,W/L
13061,Dustin Poirier,Cub Swanson,L/W
