,Fighter Name,Age,Height,Reach,Overall Record,Record in Last 5,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,# of Fights,KO Win %,Sub Win %,Dec Win %,Finish Rate,KO Wins,KO Losses,Sub Wins,Sub Losses,Dec Wins,Dec Losses,DQ Wins,DQ Losses,Odds,Category
0,Aoriqileng,30,67,69.3,25-11-0,03-02,5.31,0.5,5.56,0.5,-0.25,1.64,0.46,0.58,0.0,36,0.25,0.0,0.44439999999999996,0.25,9,1,0,3,16,7,0,0,-108.0,Bantamweight Bout
1,Aoriqileng,30,67,69.3,25-11-0,03-02,5.31,0.5,5.56,0.5,-0.25,1.64,0.46,0.58,0.0,36,0.25,0.0,0.44439999999999996,0.25,9,1,0,3,16,7,0,0,195.0,Bantamweight Bout
2,Charalampos Grigoriou,31,67,67.0,08-03-0,03-02,13.0,0.65,4.0,0.63,9.0,0.0,0.0,0.0,0.0,11,0.55,0.0,0.18,0.5455,6,1,0,0,2,2,0,0,-158.0,Bantamweight Bout
3,Aiemann Zahabi,36,68,68.0,10-02-0,03-02,3.04,0.43,3.4,0.72,-0.36,0.25,0.16,0.75,0.0,12,0.42,0.25,0.17,0.6667000000000001,5,1,3,0,2,1,0,0,500.0,Bantamweight Bout
4,Ricky Simon,31,66,70.0,20-04-0,04-01,3.01,0.44,3.23,0.62,-0.22,5.84,0.5,0.75,0.4,24,0.25,0.17,0.42,0.4167,6,2,4,1,10,1,0,0,-175.0,Bantamweight Bout
5,Casey O'Neill,26,66,69.0,09-01-0,04-01,8.77,0.55,5.9,0.58,2.87,1.96,0.42,0.71,0.7,10,0.3,0.2,0.4,0.5,3,0,2,0,4,1,0,0,-202.0,Bantamweight Bout
6,Song Yadong,26,68,67.0,21-07-0,04-01,4.38,0.42,3.73,0.57,0.65,0.63,0.58,0.73,0.2,30,0.3,0.1,0.3,0.4,9,2,3,0,9,4,0,1,-350.0,Bantamweight Bout
7,Song Yadong,26,68,67.0,20-07-0,04-01,4.61,0.42,3.77,0.59,0.84,0.53,0.55,0.72,0.2,28,0.32,0.11,0.29,0.4286,9,2,3,0,8,4,0,1,-350.0,Bantamweight Bout
8,Song Yadong,26,68,67.0,21-07-0,04-01,4.38,0.42,3.73,0.57,0.65,0.63,0.58,0.73,0.2,30,0.3,0.1,0.3,0.4,9,2,3,0,9,4,0,1,-107.0,Bantamweight Bout
9,Song Yadong,26,68,67.0,20-07-0,04-01,4.61,0.42,3.77,0.59,0.84,0.53,0.55,0.72,0.2,28,0.32,0.11,0.29,0.4286,9,2,3,0,8,4,0,1,-107.0,Bantamweight Bout
10,Nasrat Haqparast,28,70,72.0,15-05-0,03-02,5.73,0.44,5.26,0.64,0.47,0.32,0.2,0.78,0.0,20,0.45,0.0,0.3,0.45,9,1,0,1,6,3,0,0,-214.0,Bantamweight Bout
11,Chad Anheliger,37,66,64.0,12-07-0,04-01,3.07,0.42,3.55,0.51,-0.48,1.03,0.36,0.47,0.8,19,0.37,0.16,0.11,0.5263,7,0,3,6,2,1,0,0,175.0,Bantamweight Bout
12,Chad Anheliger,36,66,64.0,12-06-0,04-01,3.51,0.43,3.31,0.55,0.2,0.0,0.0,0.47,1.0,18,0.39,0.17,0.11,0.5556,7,0,3,5,2,1,0,0,175.0,Bantamweight Bout
13,Chad Anheliger,37,66,64.0,12-07-0,04-01,3.07,0.42,3.55,0.51,-0.48,1.03,0.36,0.47,0.8,19,0.37,0.16,0.11,0.5263,7,0,3,6,2,1,0,0,138.0,Bantamweight Bout
14,Chad Anheliger,36,66,64.0,12-06-0,04-01,3.51,0.43,3.31,0.55,0.2,0.0,0.0,0.47,1.0,18,0.39,0.17,0.11,0.5556,7,0,3,5,2,1,0,0,138.0,Bantamweight Bout
15,Jonathan Martinez,30,68,70.0,19-04-0,5-0,4.64,0.5,3.76,0.58,0.88,0.44,0.41,0.69,0.1,23,0.39130000000000004,0.087,0.3478,0.4783,9,1,2,0,8,2,0,1,-108.0,Bantamweight Bout
16,Jonathan Martinez,30,68,70.0,19-04-0,5-0,4.64,0.5,3.76,0.58,0.88,0.44,0.41,0.69,0.1,23,0.39130000000000004,0.087,0.3478,0.4783,9,1,2,0,8,2,0,1,-157.0,Bantamweight Bout
17,Piera Rodriguez,31,63,63.0,09-01-0,04-01,3.46,0.46,2.98,0.57,0.48,3.31,0.41,0.66,0.0,10,0.5,0.0,0.4,0.5,5,0,0,1,4,0,0,0,-156.0,Bantamweight Bout
18,Rani Yahya,39,66,67.0,28-11-0,02-02-01,1.59,0.37,1.77,0.5,-0.18,2.86,0.32,0.24,1.9,41,0.0,0.5122,0.1707,0.5122,0,3,21,1,7,7,0,0,355.0,Bantamweight Bout
19,Deiveson Figueiredo,36,65,68.0,22-03-0,02-02-01,3.08,0.55,3.46,0.51,-0.38,1.65,0.44,0.58,1.6,26,0.34619999999999995,0.3077,0.1923,0.6537999999999999,9,1,8,1,5,1,0,0,-300.0,Bantamweight Bout
20,Deiveson Figueiredo,35,65,68.0,21-03-0,02-02-01,3.09,0.55,3.5,0.51,-0.41,1.44,0.42,0.57,1.8,25,0.36,0.32,0.16,0.68,9,1,8,1,4,1,0,0,-300.0,Bantamweight Bout
