,Fighter Name,Age,Height,Reach,Overall Record,Record in Last 5,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,# of Fights,KO Win %,Sub Win %,Dec Win %,Finish Rate,KO Wins,KO Losses,Sub Wins,Sub Losses,Dec Wins,Dec Losses,DQ Wins,DQ Losses,Odds,Category
0,Aoriqileng,30,67,69.3,25-11-0,03-02,5.31,50%,5.56,50%,-0.25,1.64,46%,58%,0.0,36,25.00%,0.00%,44.44%,25.00%,9,1,0,3,16,7,0,0,-108.0,Bantamweight Bout
1,Aoriqileng,30,67,69.3,25-11-0,03-02,5.31,50%,5.56,50%,-0.25,1.64,46%,58%,0.0,36,25.00%,0.00%,44.44%,25.00%,9,1,0,3,16,7,0,0,195.0,Bantamweight Bout
2,Charalampos Grigoriou,31,67,67.0,08-03-0,03-02,13.0,65%,4.0,63%,9.0,0.0,0%,0%,0.0,11,55.00%,0.00%,18.00%,54.55%,6,1,0,0,2,2,0,0,-158.0,Bantamweight Bout
3,Aiemann Zahabi,36,68,68.0,10-02-0,03-02,3.04,43%,3.4,72%,-0.36,0.25,16%,75%,0.0,12,42.00%,25.00%,17.00%,66.67%,5,1,3,0,2,1,0,0,500.0,Bantamweight Bout
4,Ricky Simon,31,66,70.0,20-04-0,04-01,3.01,44%,3.23,62%,-0.22,5.84,50%,75%,0.4,24,25.00%,17.00%,42.00%,41.67%,6,2,4,1,10,1,0,0,-175.0,Bantamweight Bout
5,Casey O'Neill,26,66,69.0,09-01-0,04-01,8.77,55%,5.9,58%,2.87,1.96,42%,71%,0.7,10,30.00%,20.00%,40.00%,50.00%,3,0,2,0,4,1,0,0,-202.0,Bantamweight Bout
6,Song Yadong,26,68,67.0,21-07-0,04-01,4.38,42%,3.73,57%,0.65,0.63,58%,73%,0.2,30,30.00%,10.00%,30.00%,40.00%,9,2,3,0,9,4,0,1,-350.0,Bantamweight Bout
7,Song Yadong,26,68,67.0,20-07-0,04-01,4.61,42%,3.77,59%,0.84,0.53,55%,72%,0.2,28,32.00%,11.00%,29.00%,42.86%,9,2,3,0,8,4,0,1,-350.0,Bantamweight Bout
8,Song Yadong,26,68,67.0,21-07-0,04-01,4.38,42%,3.73,57%,0.65,0.63,58%,73%,0.2,30,30.00%,10.00%,30.00%,40.00%,9,2,3,0,9,4,0,1,-107.0,Bantamweight Bout
9,Song Yadong,26,68,67.0,20-07-0,04-01,4.61,42%,3.77,59%,0.84,0.53,55%,72%,0.2,28,32.00%,11.00%,29.00%,42.86%,9,2,3,0,8,4,0,1,-107.0,Bantamweight Bout
