,Fighter 1,Fighter 2,Outcome
0,Aoriqileng,Johnny Munoz,W/L
1,Charalampos Grigoriou,Chad Anheliger,L/W
2,Aiemann Zahabi,Javid Basharat,W/L
3,Ricky Simon,Mario Bautista,L/W
4,Casey O'Neill,Ariane Lipski,W/L
5,Song Yadong,Chris Gutierrez,W/L
6,Nasrat Haqparast,Jamie Mullarkey,W/L
7,Chad Anheliger,Jose Johnson,L/W
8,Jonathan Martinez,Adrian Yanez,W/L
9,Piera Rodriguez,Cynthia Calvillo,L/W
10,Jonathan Martinez,Jose Aldo,W/L
11,Rani Yahya,Victor Henry,L/W
12,Deiveson Figueiredo,Cody Garbrandt,W/L
13,Dan Argueta,Jean Matsumoto,L/W
14,Angel Pacheco,Caolan Loughran,L/W
15,Payton Talbott,Cameron Saaiman,W/L
16,Miles Johns,Cody Gibson,W/L
17,Petr Yan,Song Yadong,W/L
18,Pedro Munhoz,Kyler Phillips,L/W
19,Umar Nurmagomedov,Bekzat Almakhan,W/L
20,Vinicius Oliveira,Benardo Sopaj,W/L
21,Cristian Quinonez,Raoni Barcelos,L/W
22,Merab Dvalishvili,Henry Cejudo,W/L
23,Rinya Nakamura,Carlos Vera,W/L
24,Daniel Marcos,Aoriqileng,NC/NC
25,Brad Katona,Garrett Armfield,L/W
26,Serhiy Sidey,Ramon Taveras,L/W
27,Marcus McGhee,Gaston Bolanos,W/L
28,Farid Basharat,Taylor Lapilus,W/L
29,Rob Font,Deiveson Figueiredo,L/W
30,Payton Talbott,Nick Aguirre,W/L
31,Christian Rodriguez,Cameron Saaiman,W/L
32,Chris Gutierrez,Alatengheili,W/L
33,John Castaneda,Kyung Ho Kang,W/L
34,Elves Brener,Kaynan Kruschewsky,W/L
35,Alexander Hernandez,Bill Algeo,L/W
36,Jack Shore,Joanderson Brito,L/W
37,Jonathan Pearce,David Onama,L/W
38,Sodiq Yusuff,Diego Lopes,L/W
39,Bill Algeo,Kyle Nelson,L/W
40,Dennis Buzukja,Connor Matthews,W/L
41,Billy Quarantillo,Youssef Zalal,L/W
42,Fernando Padilla,Luis Pajuelo,W/L
43,Jarno Errens,Steven Nguyen,W/L
44,Christian Rodriguez,Isaac Dulgarian,W/L
45,Yair Rodriguez,Brian Ortega,L/W
46,Erik Silva,Muhammad Naimov,L/W
47,Blake Bilder,JeongYeong Lee,W/L
48,Josh Emmett,Bryce Mitchell,W/L
49,Andre Fili,Lucas Almeida,W/L
50,Jonathan Pearce,Joanderson Brito,L/W
51,Jeka Saragih,Lucas Alexander,W/L
52,Diego Lopes,Pat Sabatini,W/L
53,Sodiq Yusuff,Edson Barboza,L/W
54,Alex Caceres,Sean Woodson,L/W
55,Calvin Kattar,Aljamain Sterling,L/W
56,Alexander Hernandez,Damon Jackson,L/W
57,Morgan Charriere,Chepe Mariscal,L/W
